"","date","temperature_celsius","rainfall_mm"
"221",2009-05-01,25.418,72.8358
"222",2009-06-01,24.6483,30.4692
"223",2009-07-01,23.8074,18.3059
"224",2009-08-01,24.7409,19.4447
"225",2009-09-01,25.2241,19.6691
"226",2009-10-01,25.6667,130.978
"227",2009-11-01,25.5432,77.4053
"228",2009-12-01,26.582,89.9905
"229",2010-01-01,26.2326,46.9243
"230",2010-02-01,26.4022,44.5868
"231",2010-03-01,27.0585,96.3101
"232",2010-04-01,26.7494,109.239
"233",2010-05-01,25.2216,72.8616
"234",2010-06-01,24.1788,45.9529
"235",2010-07-01,23.5993,16.5458
"236",2010-08-01,24.1275,33.5338
"237",2010-09-01,24.7352,16.7171
"238",2010-10-01,25.7465,50.512
"239",2010-11-01,25.2708,59.7331
"240",2010-12-01,25.984,42.677
"241",2011-01-01,26.1305,19.4906
"242",2011-02-01,26.0875,28.7876
"243",2011-03-01,26.8969,83.5573
"244",2011-04-01,27.0179,65.3496
"245",2011-05-01,25.8316,84.732
"246",2011-06-01,24.4374,27.0977
"247",2011-07-01,23.8652,18.9236
"248",2011-08-01,23.9092,23.6642
"249",2011-09-01,24.8131,35.2312
"250",2011-10-01,24.8914,93.8432
"251",2011-11-01,24.9862,113.547
"252",2011-12-01,25.0738,42.9499
"253",2012-01-01,24.9748,46.5721
"254",2012-02-01,25.9048,15.5346
"255",2012-03-01,27.5007,23.3394
"256",2012-04-01,26.1119,107.882
"257",2012-05-01,25.5211,95.6116
"258",2012-06-01,24.1384,38.07
"259",2012-07-01,23.423,26.9273
"260",2012-08-01,24.3426,36.3185
"261",2012-09-01,25.22,42.0646
"262",2012-10-01,25.7267,89.3439
"263",2012-11-01,25.4841,124.175
"264",2012-12-01,24.5937,110.374
"265",2013-01-01,25.5601,42.9715
"266",2013-02-01,26.66,16.8768
"267",2013-03-01,27.1454,145.511
"268",2013-04-01,25.0039,152.402
"269",2013-05-01,25.5921,68.7326
"270",2013-06-01,23.2803,27.0903
"271",2013-07-01,23.7706,25.5887
"272",2013-08-01,23.5732,51.8061
"273",2013-09-01,25.195,45.2457
